"","Country.code","Region.code","Year","VA_Agriculture","VA_Mining","VA_Manufacturing","VA_Utilities","VA_Construction","VA_Trade..restaurants.and.hotels","VA_Transport..storage.and.communication","VA_Finance..insurance..real.estate.and.business.services","VA_Government.services","VA_Community..social.and.personal.services","VA_Summation.of.sector.GDP","EMP_Agriculture","EMP_Mining","EMP_Manufacturing","EMP_Utilities","EMP_Construction","EMP_Trade..restaurants.and.hotels","EMP_Transport..storage.and.communication","EMP_Finance..insurance..real.estate.and.business.services","EMP_Government.services","EMP_Community..social.and.personal.services","EMP_Summation.of.sector.GDP","VAQ_ Agriculture","VAQ_ Mining","VAQ_ Manufacturing","VAQ_ Utilities","VAQ_ Construction","VAQ_ Trade..restaurants.and.hotels","VAQ_ Transport..storage.and.communication","VAQ_ Finance..insurance..real.estate.and.business.services","VAQ_ Government.services","VAQ_ Community..social.and.personal.services","VAQ_ Summation.of.sector.GDP","base.yr.Q"
"11","ARG","LAM",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,45,2051,91,469,999,575,239,967,482,7568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"12","ARG","LAM",1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553,53,2088,97,475,1113,580,240,986,478,7664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"13","ARG","LAM",1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,58,1990,107,441,1168,561,259,1022,509,7761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"14","ARG","LAM",1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1738,58,1927,114,434,1150,563,280,1052,545,7860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"15","ARG","LAM",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1735,52,2029,113,436,1165,575,273,1045,536,7959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"16","ARG","LAM",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1718,49,2094,117,416,1240,582,272,1038,536,8060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"17","ARG","LAM",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1657,49,2052,122,454,1283,583,289,1100,572,8159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"18","ARG","LAM",1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,52,1980,124,504,1324,571,298,1136,580,8259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"19","ARG","LAM",1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1562,53,2006,125,578,1394,578,308,1176,580,8361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"20","ARG","LAM",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542,48,2049,113,654,1475,597,295,1130,560,8463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"21","ARG","LAM",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533,43,2013,103,728,1508,617,286,1158,577,8567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"22","ARG","LAM",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,43,2010,103,750,1538,599,282,1213,604,8649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"23","ARG","LAM",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483,44,2012,103,763,1555,581,296,1265,630,8732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"24","ARG","LAM",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459,44,2005,103,778,1574,564,306,1323,659,8815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"25","ARG","LAM",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1438,46,2068,106,836,1644,566,328,1404,699,9136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"26","ARG","LAM",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487,47,1985,109,729,1600,562,435,1497,745,9195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"27","ARG","LAM",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,46,1983,105,869,1674,525,372,1494,744,9201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"28","ARG","LAM",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331,47,2038,106,909,1776,517,265,1643,818,9451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"29","ARG","LAM",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321,47,2079,106,864,1713,499,405,1670,832,9537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"30","ARG","LAM",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1291,48,2030,107,902,1753,491,383,1801,897,9703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"31","ARG","LAM",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257,49,2079,108,1050,1782,482,414,1676,835,9732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"32","ARG","LAM",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,50,1925,111,990,1928,503,494,1677,835,9754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"33","ARG","LAM",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1227,37,1781,83,792,1973,383,497,2093,1043,9909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"34","ARG","LAM",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,43,1896,98,794,2061,463,547,2042,1017,10215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"35","ARG","LAM",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,45,2105,104,786,1989,500,517,2101,1047,10453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"36","ARG","LAM",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,55,1939,130,830,2037,638,619,2006,999,10529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"37","ARG","LAM",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321,43,2091,103,837,2156,513,627,2102,1047,10840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"38","ARG","LAM",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,46,2100,111,889,2230,565,568,2173,1082,11066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"39","ARG","LAM",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,46,2098,109,871,2291,579,586,2264,1128,11284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"40","ARG","LAM",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,45,2069,105,842,2324,587,596,2330,1160,11383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"41","ARG","LAM",1990,16851.4356076832,5667.00838251774,52721.6157379106,4846.00532648693,9072.77953444215,38649.7625106029,15567.7486260079,7267.26857647609,24591.8245893296,9615.47646978454,184847.446534733,1339,46,2082,103,831,2405,606,619,2446,1218,11695,105857.211830345,55494.2404652688,263521.108026838,12701.1955829173,37383.4696614706,158324.873233127,65749.8210126367,43621.0055913996,155799.24518788,45276.9270094956,943729.097601379,"VA_Q05"
"42","ARG","LAM",1991,15711.5461991783,4609.43764062652,54119.0426489772,4581.03967850852,10712.0102368256,44374.0577537486,17452.7896658871,8437.18400821554,32298.9453352591,12628.1253649979,204925.67316181,1345,47,2105,102,824,2502,629,645,2581,1285,12065,47343.8867394571,24535.8392699497,124806.054249428,5639.23742480022,20992.0725235407,78518.8706266776,31107.7255558884,21290.9984405722,68929.3272083054,20032.5203298694,443195.037738904,"VA_Q05"
"43","ARG","LAM",1992,15485.6128772077,4429.16449277509,53604.3485044422,5286.54959084128,13582.5077056169,47589.4825399748,19129.8288009391,10254.3784539836,37468.1238938325,14649.3002239481,221477.980055761,1324,51,2141,101,819,2582,676,648,2616,1303,12260,41806.4134683793,24026.5381628593,122706.163136296,5403.76506507767,21741.4949291499,76710.2842348157,30782.8907789569,20154.4764296572,63753.3647343931,18527.9470961522,425615.972091338,"VA_Q05"
"44","ARG","LAM",1993,16986.1595404671,4931.28526621346,60313.5196523721,6430.10517133987,18725.4617438041,54939.019917945,22557.798833311,13001.4237852336,45778.3221395977,17899.1533819293,261562.249432213,1313,45,2042,104,680,2690,735,737,2557,1274,12175,45466.5340436619,28042.7526465675,136315.712957191,6374.17905547694,25590.3924659782,84233.1194069454,34402.9501730787,23523.9224848431,70520.035797356,20494.1251579691,474966.520494861,"VA_Q05"
"45","ARG","LAM",1994,18166.5424337562,5303.49194474197,63687.7188432326,6764.03475256097,19868.6579113095,59418.546662583,25338.7516972476,12502.0798330894,48867.0967201644,18684.3964901407,278604.09398618,1303,55,1978,111,648,2546,820,841,2586,1288,12177,48521.3978996825,31676.5634060819,141450.516570181,7015.32586303173,26872.8769849282,89272.2082562444,37674.2296891409,27354.6339757202,70132.4334001677,21447.2103566424,501418.784750498,"VA_Q05"
"46","ARG","LAM",1995,18969.7339131855,6646.55074391595,61137.8257969714,7021.6041447198,18428.4480526847,56600.091793839,26185.0469572216,13558.2491301584,49285.8635671733,18116.5904630053,275951.378384856,1256,51,1732,98,766,2339,771,839,2501,1246,11597,50714.6384273785,36483.2165265465,129942.952069717,7458.47953466715,23357.7213203925,81735.5387576022,37920.2343186374,26731.8281056462,70280.6110803035,21019.4763087875,485643.322627697,"VA_Q05"
"47","ARG","LAM",1996,21372.4249345641,8242.44993055977,66794.7763688409,7322.88980076222,18932.8613025441,62341.1381146312,28693.9151004255,13761.2103442458,50315.4750473244,19035.0346502994,296813.575229098,1236,53,1693,102,809,2422,781,898,2591,1291,11875,51072.6775286341,38852.465210122,140925.039252551,7906.53755437802,25806.4683001632,89841.1646447107,41304.6255562489,30412.6667585555,73345.0677043851,21831.5051820125,521296.81805686,"VA_Q05"
"48","ARG","LAM",1997,21872.4263821583,8056.4557516967,76348.2550926812,7869.09631561073,21567.7885204307,70252.6374087239,32826.5173820243,14468.1530950051,53241.5447918802,20339.2255005998,326842.100240811,1232,54,1803,118,800,2479,832,968,2781,1385,12452,52429.1771606067,39973.3502226471,157184.555303208,8738.6729350021,30742.6799898314,101796.243232205,46938.5445259957,34926.0872459495,76394.0222831755,24388.1916346409,573512.954757965,"VA_Q05"
"49","ARG","LAM",1998,23096.4126571848,6340.73966535844,78433.3758744849,8561.69000047587,24117.1673145169,73887.0464136584,35873.4958102743,16360.0202500074,57081.365268591,20900.4663986879,344651.77965324,1221,49,1774,132,798,2700,874,1039,2948,1468,13003,58625.7347069177,39532.9159650903,164634.194609735,9673.63599607109,34361.4845887506,108248.531002409,52546.8024320565,41505.2963620389,79073.1860703631,25957.1731881804,614161.896577685,"VA_Q05"
"50","ARG","LAM",1999,19227.4017118013,7110.44193377319,73158.1413340079,9329.98296530402,23378.9626953843,69411.2396474689,35727.1563574376,17522.0518171159,61896.1384166517,21562.5596853447,338324.07656429,1201,41,1674,131,752,2682,919,1150,3005,1497,13053,62133.457402888,39551.6430971693,156779.615920154,10364.450341206,32748.4988250611,104260.620010943,53644.7398182807,43024.7151842048,84059.6019453512,26850.5135068671,613417.856052124,"VA_Q05"
"51","ARG","LAM",2000,20480.9240027073,10930.3457572343,72186.7875545044,10138.8273408891,20493.2433554909,67611.6879145012,37169.0272671688,17735.2482510661,64476.4126310792,22253.3708844453,343475.874959087,1171,41,1614,124,739,2789,939,1152,3086,1537,13193,61790.7937242581,42729.6751298588,152633.701150401,11182.8924892978,30060.7607110413,102994.40902805,55241.5178006856,44409.7268657199,86645.0879651374,27569.1716105615,615257.736475012,"VA_Q05"
"52","ARG","LAM",2001,19549.0636470678,10601.0196072442,68861.242279774,10083.4694536684,18467.781941597,63919.832659633,36424.3835776623,21915.4621954177,65560.0685309657,22663.9193405889,338044.650771608,1140,48,1559,113,799,2770,898,1124,3119,1554,13124,64571.1496221331,46248.2817235372,146221.454312269,11693.448546792,27479.5244618607,98203.9472945078,54514.7520226517,42308.5307083168,89789.3780283701,28235.9439170869,609268.003099536,"VA_Q05"
"53","ARG","LAM",2002,39512.6662016539,23127.4927485483,78771.4427163927,6628.37855790031,9769.17975798163,49998.9295143859,28628.8487938011,20381.7686710324,49024.2408138875,14622.8074800316,320465.755255615,1140,51,1456,92,683,2552,826,1088,3573,1584,13045,49071.3032924376,34621.8838912749,101261.115031959,8818.02229675826,14233.9227888543,63569.0236584281,39030.895039654,27214.4974647424,69454.3104497477,19797.2031479889,427070.938575568,"VA_Q05"
"54","ARG","LAM",2003,44384.5823862646,23467.5262646552,96634.3528425227,7004.36152686782,13182.1923888221,56491.0273951645,34267.2983136711,15642.3500525759,49282.033794964,15381.7013781633,355738.569539612,1090,66,1627,98,832,2856,774,1131,3746,1517,13737,48408.6320964938,33148.1094880136,108394.40948148,8704.2938902516,17654.3749076905,65522.2753243723,38989.8407434885,22129.9870143802,65466.2587232924,19124.5248870527,427541.563360575,"VA_Q05"
"55","ARG","LAM",2004,42819.8095819899,23362.9358760361,99033.9588767849,6915.99269901009,17132.6873232473,57944.8841587746,37238.5866031934,16914.3606775618,48069.573016882,16154.1869930386,365585.983412675,1108,79,1834,93,982,3180,869,1175,3732,1623,14674,41380.8385081537,28653.3874585333,105364.43920782,8050.29886273065,19831.0061851512,63948.8669151258,38398.6950068586,18581.5823355237,58260.4654011746,18118.1344103641,400588.70668528,"VA_Q05"
"56","ARG","LAM",2005,43019.4840964114,26760.0857235669,105936.326866324,7911.03158795246,22339.378987623,65514.8552561912,41252.5013368018,19872.2885029763,56613.0876700762,18614.1373525449,407832.248855634,1134,75,1880,106,1132,3263,892,1331,3748,1790,15352,43019.4840964114,26760.0857235669,105936.326866324,7911.03158795246,22339.378987623,65514.8552561912,41252.5013368018,19872.2885029763,56613.0876700762,18614.1373525449,407832.248855634,"VA_Q05"
"57","ARG","LAM",2006,42710.9981831721,30489.2241758716,113348.224079136,8171.97033796232,29363.3905358187,71917.8826972794,45071.2099622067,23600.4349298978,67795.7160286553,20919.6382354221,453388.689165421,1136,90,1966,99,1172,3368,898,1453,3886,1810,15879,40004.1171517445,24969.4419047603,104546.863933431,7525.75192573465,23861.2782994167,64074.0701467764,42411.4490233374,21262.1003366938,53545.2537506765,18165.6371114362,400365.963584007,"VA_Q05"
"58","ARG","LAM",2007,52684.7010467206,26722.6315243252,119360.887063724,8260.2143905239,34840.8041970974,79879.3018765911,48178.4463396347,27330.6301997809,78942.8787003021,23019.7767975386,499220.272136239,1148,90,2058,115,1289,3422,987,1580,3900,1886,16474,39232.0727517176,22199.8428606756,100475.350950589,7108.09823542671,23423.3556463887,63334.0721606978,43060.4352396922,21987.9075992683,49932.5488223462,17256.9413916122,388011.377201894,"VA_Q05"
"59","ARG","LAM",2008,57969.5330999523,22202.6067812608,125157.179422219,7665.27455032263,35183.9896858166,85582.812128933,49944.0447711509,30265.4229627543,86608.7059470875,23854.3642628862,524433.933612383,1163,98,2081,131,1308,3592,1034,1588,4025,1864,16884,31652.1526902658,18572.4731069541,86955.2328462458,6082.57359617762,20099.8044129392,56551.0746976526,39972.5310553348,20995.0507466714,43109.3149432275,15170.0393340692,339160.247429538,"VA_Q05"
"60","ARG","LAM",2009,43118.522345674,20923.8629156735,121803.047864017,7312.37720663818,32684.2995762642,84819.0118130267,47102.0537877626,32514.2442923889,92579.074495426,26015.7418948408,508872.236191711,1153,94,1980,117,1330,3551,1022,1680,4194,1921,17042,23309.5266584737,16045.5038296787,75521.931884355,5361.35955680998,16886.5440195796,49344.8276274983,37170.933870968,18577.3173212407,39365.3533328605,13757.0921501809,295340.390251645,"VA_Q05"
"61","ARG","LAM",2010,60202.3901969878,21707.0809492743,123558.031011473,7147.91384748244,33752.9258366866,88629.4016054472,48813.7567825719,34859.9519441422,94333.2694828509,25010.876201763,538015.59785868,1168,111,2097,126,1331,3694,1049,1735,4255,1977,17543,24979.4937854054,13224.2773625222,69434.2784176673,4764.21465718876,14864.8045480573,46319.9917262124,34408.3180391696,16789.137933696,34516.1098170936,11839.8125017602,271140.893606401,"VA_Q05"
"62","ARG","LAM",2011,67075.5984717969,21609.266485767,130330.689136151,6717.87945868196,36313.7747300108,95166.3314981937,50392.7268879166,35842.4499283068,101373.484002163,24302.4974585611,569125.448574749,1162,127,2164,152,1415,3768,1060,1748,4336,1999,17929,20158.1414792469,10527.1295081223,63577.8130604253,4110.20744670671,13376.8433171509,43410.2901161763,31036.8882956467,16422.4421154228,29733.6151775592,10123.3512544332,242477.09702949,"VA_Q05"
"63","BOL","LAM",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,46,117,1,26,61,23,4,NA,119,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"64","BOL","LAM",1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,49,117,1,38,69,23,5,NA,113,1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"65","BOL","LAM",1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987,51,115,1,48,71,28,5,NA,114,1421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"66","BOL","LAM",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976,55,122,1,34,64,29,5,NA,121,1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"67","BOL","LAM",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946,47,141,1,34,66,32,5,NA,121,1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"68","BOL","LAM",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948,48,139,1,41,69,34,5,NA,93,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"69","BOL","LAM",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,46,133,1,32,68,35,5,NA,107,1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"70","BOL","LAM",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933,45,93,1,35,66,30,5,NA,136,1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"71","BOL","LAM",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,27,91,1,42,58,32,4,NA,131,1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"72","BOL","LAM",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943,29,89,1,41,58,32,4,NA,112,1310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"73","BOL","LAM",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907,26,92,1,43,58,32,4,NA,130,1293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"74","BOL","LAM",1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933,26,89,1,34,57,32,4,NA,136,1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"75","BOL","LAM",1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,27,97,1,42,60,33,4,NA,151,1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"76","BOL","LAM",1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,29,98,1,46,61,34,4,NA,147,1348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"77","BOL","LAM",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,31,106,1,45,63,35,5,NA,140,1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"78","BOL","LAM",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,29,111,1,63,63,35,5,NA,119,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"79","BOL","LAM",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970,34,121,1,48,68,36,5,NA,123,1406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"80","BOL","LAM",1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,42,126,1,50,76,37,5,NA,138,1426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"81","BOL","LAM",1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,41,121,1,57,77,38,6,NA,155,1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"82","BOL","LAM",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,46,136,1,63,85,43,7,NA,182,1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"83","BOL","LAM",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915,47,138,1,58,81,43,7,NA,197,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"84","BOL","LAM",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,53,142,2,60,85,45,8,NA,212,1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"85","BOL","LAM",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,54,149,2,61,92,48,9,NA,225,1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"86","BOL","LAM",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,70,155,2,62,96,50,10,NA,241,1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"87","BOL","LAM",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891,68,169,3,66,101,57,10,NA,262,1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"88","BOL","LAM",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,68,176,3,73,110,64,11,NA,286,1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"89","BOL","LAM",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858,71,187,3,75,116,71,12,NA,305,1699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"90","BOL","LAM",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,72,196,4,83,120,79,13,NA,321,1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"91","BOL","LAM",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,69,203,4,85,125,89,14,NA,339,1768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"92","BOL","LAM",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,67,208,5,84,130,94,15,NA,363,1804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"93","BOL","LAM",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,74,212,6,75,132,97,15,NA,384,1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
