"","Area_code","Region","sub_region","Year","Decade","Emploi_nb_EASD","Emploi_share_FAO","Emploi_nb_FAO","Emploi_share_FAO_wage","Emploi_to_pop_FAO2","Emploi_nb_FAO2","Emploi_labforcepart_FAO2","Employees_share_FAO2","Emploi_share_FAO2","Emploi_share_ILOmod","Emploi_nb_ILO","Tot_Emploi_to_pop_ILOmod","Tot_Emploi_to_pop_ILO","Emploi_share_ILO","Emploi_Agripop_WB","Emploi_nb_WB","Emploi_share_WB","Cereals_Area_FAO","Cereals_Prod_FAO","Cereals_Yield_FAO","Crops_GPCPI_FAO","Crops_GPI_FAO","Crops_NPCPI_FAO","Crops_NPI_FAO","GDP_cons_USD_WB","Land_FAO","Pop_Rurals_FAO","Pop_Urbans_FAO","VAW_FAO","VAW_WDI","LogGDP"
"11","ABW","Americas","Latin America and the Caribbean",1960,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27.525,NA,NA,NA
"12","ABW","Americas","Latin America and the Caribbean",1961,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,28.139,NA,NA,NA
"13","ABW","Americas","Latin America and the Caribbean",1962,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,28.532,NA,NA,NA
"14","ABW","Americas","Latin America and the Caribbean",1963,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,28.763,NA,NA,NA
"15","ABW","Americas","Latin America and the Caribbean",1964,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,28.922,NA,NA,NA
"16","ABW","Americas","Latin America and the Caribbean",1965,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,29.082,NA,NA,NA
"17","ABW","Americas","Latin America and the Caribbean",1966,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,29.251,NA,NA,NA
"18","ABW","Americas","Latin America and the Caribbean",1967,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,29.413,NA,NA,NA
"19","ABW","Americas","Latin America and the Caribbean",1968,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,29.575,NA,NA,NA
"20","ABW","Americas","Latin America and the Caribbean",1969,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,29.737,NA,NA,NA
"21","ABW","Americas","Latin America and the Caribbean",1970,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,29.901,NA,NA,NA
"22","ABW","Americas","Latin America and the Caribbean",1971,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,30.081,NA,NA,NA
"23","ABW","Americas","Latin America and the Caribbean",1972,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.28,NA,NA,NA
"24","ABW","Americas","Latin America and the Caribbean",1973,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.468,NA,NA,NA
"25","ABW","Americas","Latin America and the Caribbean",1974,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.603,NA,NA,NA
"26","ABW","Americas","Latin America and the Caribbean",1975,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.66,NA,NA,NA
"27","ABW","Americas","Latin America and the Caribbean",1976,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.617,NA,NA,NA
"28","ABW","Americas","Latin America and the Caribbean",1977,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.495,NA,NA,NA
"29","ABW","Americas","Latin America and the Caribbean",1978,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.355,NA,NA,NA
"30","ABW","Americas","Latin America and the Caribbean",1979,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.281,NA,NA,NA
"31","ABW","Americas","Latin America and the Caribbean",1980,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.331,NA,NA,NA
"32","ABW","Americas","Latin America and the Caribbean",1981,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.56,NA,NA,NA
"33","ABW","Americas","Latin America and the Caribbean",1982,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30.943,NA,NA,NA
"34","ABW","Americas","Latin America and the Caribbean",1983,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,31.367,NA,NA,NA
"35","ABW","Americas","Latin America and the Caribbean",1984,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,31.674,NA,NA,NA
"36","ABW","Americas","Latin America and the Caribbean",1985,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,31.763,NA,NA,NA
"37","ABW","Americas","Latin America and the Caribbean",1986,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15669.6160398263,2,31,31.56,NA,NA,9.65947883216705
"38","ABW","Americas","Latin America and the Caribbean",1987,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18427.6115299095,2,31,31.143,NA,NA,9.8216054454076
"39","ABW","Americas","Latin America and the Caribbean",1988,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22134.0172712515,2,30,30.752,NA,NA,10.0048709471286
"40","ABW","Americas","Latin America and the Caribbean",1989,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24837.9509579621,2,30,30.72,NA,NA,10.1201280430299
"41","ABW","Americas","Latin America and the Caribbean",1990,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25357.7869437251,2,31,31.272,NA,NA,10.1408411391173
"42","ABW","Americas","Latin America and the Caribbean",1991,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26329.3131412118,2,32,32.508,NA,NA,10.1784381656029
"43","ABW","Americas","Latin America and the Caribbean",1992,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26401.968740042,2,34,34.116,NA,NA,10.1811938598404
"44","ABW","Americas","Latin America and the Caribbean",1993,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26663.2077602359,2,37,35.95,NA,NA,10.1910399075838
"45","ABW","Americas","Latin America and the Caribbean",1994,199,NA,0.1,0,NA,NA,0,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27272.3100411519,2,39,37.719,NA,NA,10.2136271822318
"46","ABW","Americas","Latin America and the Caribbean",1995,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26705.1809964158,2,41,39.172,NA,NA,10.1926128703737
"47","ABW","Americas","Latin America and the Caribbean",1996,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26087.7758122111,2,43,40.23,NA,NA,10.1692221239107
"48","ABW","Americas","Latin America and the Caribbean",1997,199,NA,0.5,0.2,NA,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27190.5011823334,2,44,40.969,NA,NA,10.2106229700544
"49","ABW","Americas","Latin America and the Caribbean",1998,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27151.9241038764,2,46,41.488,NA,NA,10.2092031922387
"50","ABW","Americas","Latin America and the Caribbean",1999,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26954.4045087697,2,47,41.945,NA,NA,10.2019019955909
"51","ABW","Americas","Latin America and the Caribbean",2000,200,NA,0.5,0.2,0.4,NA,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28417.3842120132,2,48,42.446,NA,NA,10.2547563570215
"52","ABW","Americas","Latin America and the Caribbean",2001,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26966.0547913068,2,50,43.046,NA,NA,10.2023341240583
"53","ABW","Americas","Latin America and the Caribbean",2002,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25508.3025249991,2,51,43.671,NA,NA,10.1467592673695
"54","ABW","Americas","Latin America and the Caribbean",2003,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25469.2874132699,2,53,44.245,NA,NA,10.1452285900898
"55","ABW","Americas","Latin America and the Caribbean",2004,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27005.5295318108,2,54,44.671,NA,NA,10.2037969214928
"56","ABW","Americas","Latin America and the Caribbean",2005,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26979.8853627251,2,55,44.889,NA,NA,10.2028468807803
"57","ABW","Americas","Latin America and the Caribbean",2006,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27046.7604168734,2,56,44.88,NA,NA,10.2053225143252
"58","ABW","Americas","Latin America and the Caribbean",2007,200,NA,0.7,0.4,0.5,NA,0,NA,NA,0.7,NA,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27428.1202017663,2,57,44.685,NA,NA,10.219324050842
"59","ABW","Americas","Latin America and the Caribbean",2008,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27367.2809956235,2,57,44.371,NA,NA,10.2171034545944
"60","ABW","Americas","Latin America and the Caribbean",2009,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24464.174515202,2,57,44.037,NA,NA,10.1049650616948
"61","ABW","Americas","Latin America and the Caribbean",2010,201,NA,0.6,0.3,0.5,NA,NA,NA,NA,NA,NA,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23512.6025956397,2,58,43.746,NA,1232.15394165115,10.0652918370507
"62","ABW","Americas","Latin America and the Caribbean",2011,201,NA,0.6,0.3,0.5,NA,0,NA,NA,0.6,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24231.338896093,2,58,43.523,NA,NA,10.0954020700674
"63","ABW","Americas","Latin America and the Caribbean",2012,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23777.3160505999,2,59,43.373,NA,NA,10.0764872980465
"64","ABW","Americas","Latin America and the Caribbean",2013,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24629.0799831602,2,60,43.282,NA,NA,10.1116831369115
"65","ABW","Americas","Latin America and the Caribbean",2014,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24692.4971839859,2,60,43.212,NA,NA,10.114254718739
"66","ABW","Americas","Latin America and the Caribbean",2015,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24452.606574011,2,61,43.143,NA,NA,10.1044920975648
"67","ABW","Americas","Latin America and the Caribbean",2016,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24288.9870951854,2,61,43.072,NA,NA,10.0977783206403
"68","ABW","Americas","Latin America and the Caribbean",2017,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24508.8091382819,NA,62,43.011,NA,NA,10.1067878885724
"69","ABW","Americas","Latin America and the Caribbean",2018,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,42.964,NA,NA,NA
"70","ABW","Americas","Latin America and the Caribbean",2019,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,42.937,NA,NA,NA
"71","ABW","Americas","Latin America and the Caribbean",2020,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,42.934,NA,NA,NA
"72","ABW","Americas","Latin America and the Caribbean",2021,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,42.957,NA,NA,NA
"73","ABW","Americas","Latin America and the Caribbean",2022,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,43.003,NA,NA,NA
"74","ABW","Americas","Latin America and the Caribbean",2023,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,43.071,NA,NA,NA
"75","ABW","Americas","Latin America and the Caribbean",2024,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,43.163,NA,NA,NA
"76","ABW","Americas","Latin America and the Caribbean",2025,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,43.277,NA,NA,NA
"77","ABW","Americas","Latin America and the Caribbean",2026,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,43.414,NA,NA,NA
"78","ABW","Americas","Latin America and the Caribbean",2027,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,43.573,NA,NA,NA
"79","ABW","Americas","Latin America and the Caribbean",2028,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,43.752,NA,NA,NA
"80","ABW","Americas","Latin America and the Caribbean",2029,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,43.95,NA,NA,NA
"81","ABW","Americas","Latin America and the Caribbean",2030,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,44.163,NA,NA,NA
"82","ABW","Americas","Latin America and the Caribbean",2031,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,44.391,NA,NA,NA
"83","ABW","Americas","Latin America and the Caribbean",2032,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,44.634,NA,NA,NA
"84","ABW","Americas","Latin America and the Caribbean",2033,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,44.891,NA,NA,NA
"85","ABW","Americas","Latin America and the Caribbean",2034,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,45.16,NA,NA,NA
"86","ABW","Americas","Latin America and the Caribbean",2035,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,45.44,NA,NA,NA
"87","ABW","Americas","Latin America and the Caribbean",2036,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,45.73,NA,NA,NA
"88","ABW","Americas","Latin America and the Caribbean",2037,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,46.03,NA,NA,NA
"89","ABW","Americas","Latin America and the Caribbean",2038,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,46.312,NA,NA,NA
"90","ABW","Americas","Latin America and the Caribbean",2039,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,46.578,NA,NA,NA
"91","ABW","Americas","Latin America and the Caribbean",2040,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,46.826,NA,NA,NA
"92","ABW","Americas","Latin America and the Caribbean",2041,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,47.058,NA,NA,NA
"93","ABW","Americas","Latin America and the Caribbean",2042,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,47.275,NA,NA,NA
"94","ABW","Americas","Latin America and the Caribbean",2043,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,47.478,NA,NA,NA
"95","ABW","Americas","Latin America and the Caribbean",2044,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,47.67,NA,NA,NA
"96","ABW","Americas","Latin America and the Caribbean",2045,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,47.855,NA,NA,NA
"97","ABW","Americas","Latin America and the Caribbean",2046,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,48.035,NA,NA,NA
"98","ABW","Americas","Latin America and the Caribbean",2047,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,48.208,NA,NA,NA
"99","ABW","Americas","Latin America and the Caribbean",2048,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,48.377,NA,NA,NA
"100","ABW","Americas","Latin America and the Caribbean",2049,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,48.541,NA,NA,NA
"101","ABW","Americas","Latin America and the Caribbean",2050,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,48.701,NA,NA,NA
"102","AFG","Asia","Southern Asia",1950,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7019,432.143,NA,NA,NA
"103","AFG","Asia","Southern Asia",1951,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7094,453.451,NA,NA,NA
"104","AFG","Asia","Southern Asia",1952,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7175,476.18,NA,NA,NA
"105","AFG","Asia","Southern Asia",1953,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7262,500.363,NA,NA,NA
"106","AFG","Asia","Southern Asia",1954,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7356,526.175,NA,NA,NA
